trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,12787,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.94,0.94,0.94,0.94,False,False,False,False,0.0,0.0,0.0
2,3915,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
3,16667,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.75,0.75,0.75,0.75,False,False,False,False,0.0,0.0,0.0
4,2297,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.1,0.1,0.1,0.1,False,False,False,False,0.0,0.0,0.0
5,13896,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.7,0.6,0.65,0.7,True,True,True,True,0.04999999999999993,0.09999999999999998,0.09999999999999998
6,6737,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.05,0.1,0.05,0.05,False,True,False,True,0.0,0.05,0.05
7,5964,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.05,0.1,0.05,0.05,False,True,False,True,0.0,0.05,0.05
8,24473,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
9,7411,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
10,10828,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.2,0.1,0.2,0.2,False,True,False,True,0.0,0.1,0.1
11,9507,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.1,0.1,0.1,0.1,False,False,False,False,0.0,0.0,0.0
12,5599,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.1,0.1,0.1,0.15,False,True,False,False,0.0,0.04999999999999999,0.0
13,11064,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.28,0.35,0.28,0.28,False,True,False,True,0.0,0.06999999999999995,0.06999999999999995
14,21369,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.93,0.9,0.9,0.93,True,True,True,True,0.030000000000000027,0.030000000000000027,0.030000000000000027
