trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,5365,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.1,0.1,0.2,0.1,True,False,False,False,0.1,0.0,0.0
2,8273,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.05,0.05,0.05,0.05,False,False,False,False,0.0,0.0,0.0
3,6841,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.05,0.0,0.02,0.05,True,True,True,True,0.030000000000000002,0.05,0.05
4,12844,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.35,0.35,0.35,0.35,False,False,False,False,0.0,0.0,0.0
5,17623,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.85,0.9,0.9,0.87,True,True,True,True,0.050000000000000044,0.030000000000000027,0.050000000000000044
6,16200,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.92,0.92,0.92,0.92,False,False,False,False,0.0,0.0,0.0
7,15322,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.75,0.75,0.75,0.75,False,False,False,False,0.0,0.0,0.0
8,9321,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.34,0.35,0.35,0.34,False,False,True,True,0.009999999999999953,0.009999999999999953,0.009999999999999953
9,14340,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.92,0.92,0.92,0.92,False,False,False,False,0.0,0.0,0.0
10,7420,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.02,0.05,0.05,0.03,True,True,True,True,0.030000000000000002,0.020000000000000004,0.030000000000000002
11,18277,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
