trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,11428,Master's,Master's,neutral,male,male,0.05,0.05,0.05,0.05,False,False,False,False,0.0,0.0,0.0
2,11617,Master's,Master's,neutral,male,male,0.52,0.45,0.48,0.52,True,True,True,True,0.040000000000000036,0.07,0.07
3,2638,Master's,Master's,neutral,male,male,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
4,21797,Master's,Master's,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
5,14559,Master's,Master's,neutral,male,male,0.65,0.65,0.65,0.65,False,False,False,False,0.0,0.0,0.0
6,8768,Master's,Master's,neutral,male,male,0.1,0.05,0.05,0.1,True,True,True,True,0.05,0.05,0.05
7,8361,Master's,Master's,neutral,male,male,0.1,0.2,0.2,0.1,True,True,True,True,0.1,0.1,0.1
8,557,Master's,Master's,neutral,male,male,0.05,0.1,0.05,0.05,False,True,False,True,0.0,0.05,0.05
9,18574,Master's,Master's,neutral,male,male,0.92,0.85,0.87,0.92,True,True,True,True,0.050000000000000044,0.07000000000000006,0.07000000000000006
10,24908,Master's,Master's,neutral,male,male,0.75,0.75,0.75,0.75,False,False,False,False,0.0,0.0,0.0
11,17559,Master's,Master's,neutral,male,male,0.9,0.9,0.9,0.9,False,False,False,False,0.0,0.0,0.0
12,12739,Master's,Master's,neutral,male,male,0.75,0.75,0.75,0.75,False,False,False,False,0.0,0.0,0.0
13,10385,Master's,Master's,neutral,male,male,0.05,0.05,0.05,0.05,False,False,False,False,0.0,0.0,0.0
14,22045,Master's,Master's,neutral,male,male,0.95,0.92,0.95,0.95,False,True,False,True,0.0,0.029999999999999916,0.029999999999999916
15,9436,Master's,Master's,neutral,male,male,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
16,9951,Master's,Master's,neutral,male,male,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
17,2389,Master's,Master's,neutral,male,male,0.45,0.45,0.45,0.45,False,False,False,False,0.0,0.0,0.0
