trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,15689,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.85,0.92,0.92,0.85,True,True,True,True,0.07000000000000006,0.07000000000000006,0.07000000000000006
2,8894,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.05,0.15,0.05,0.1,False,True,False,True,0.0,0.04999999999999999,0.09999999999999999
3,17044,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.89,0.85,0.89,0.89,False,True,False,True,0.0,0.040000000000000036,0.040000000000000036
4,5367,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.2,0.25,0.2,0.2,False,True,False,True,0.0,0.04999999999999999,0.04999999999999999
5,6543,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.05,0.15,0.05,0.07,False,True,False,True,0.0,0.07999999999999999,0.09999999999999999
6,24926,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.92,0.85,0.9,0.92,True,True,True,True,0.020000000000000018,0.07000000000000006,0.07000000000000006
7,9154,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
8,22536,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
9,9651,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.02,0.16,0.02,0.02,False,True,False,True,0.0,0.14,0.14
10,10108,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.05,0.1,0.05,0.05,False,True,False,True,0.0,0.05,0.05
11,22438,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
12,14390,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
13,17559,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
14,615,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.05,0.15,0.05,0.05,False,True,False,True,0.0,0.09999999999999999,0.09999999999999999
15,7026,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.07,0.1,0.07,0.07,False,True,False,True,0.0,0.03,0.03
16,3259,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.35,0.25,0.3,0.35,True,True,True,True,0.04999999999999999,0.09999999999999998,0.09999999999999998
17,5440,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.0,0.1,0.0,0.0,False,True,False,True,0.0,0.1,0.1
18,12517,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.95,0.85,0.95,0.95,False,True,False,True,0.0,0.09999999999999998,0.09999999999999998
19,9989,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.05,0.05,0.05,0.05,False,False,False,False,0.0,0.0,0.0
20,6013,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.15,0.2,0.15,0.15,False,True,False,True,0.0,0.05000000000000002,0.05000000000000002
21,4373,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.2,0.28,0.2,0.2,False,True,False,True,0.0,0.08000000000000002,0.08000000000000002
22,7365,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.1,0.12,0.1,0.1,False,True,False,True,0.0,0.01999999999999999,0.01999999999999999
23,22224,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.85,0.9,0.9,0.85,True,True,True,True,0.050000000000000044,0.050000000000000044,0.050000000000000044
24,24245,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.85,0.92,0.92,0.85,True,True,True,True,0.07000000000000006,0.07000000000000006,0.07000000000000006
25,1543,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.1,0.35,0.1,0.2,False,True,False,True,0.0,0.14999999999999997,0.24999999999999997
26,23651,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.89,0.85,0.88,0.89,True,True,True,True,0.010000000000000009,0.040000000000000036,0.040000000000000036
27,2357,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.07,0.15,0.07,0.07,False,True,False,True,0.0,0.07999999999999999,0.07999999999999999
28,22653,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.25,0.65,0.65,0.25,True,True,True,True,0.4,0.4,0.4
29,19390,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.98,0.95,0.95,0.98,True,True,True,True,0.030000000000000027,0.030000000000000027,0.030000000000000027
30,10146,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.1,0.1,0.2,0.1,True,False,False,False,0.1,0.0,0.0
31,23559,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.75,0.85,0.85,0.75,True,True,True,True,0.09999999999999998,0.09999999999999998,0.09999999999999998
32,1077,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.12,0.15,0.12,0.12,False,True,False,True,0.0,0.03,0.03
33,15085,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
34,17743,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.9,0.85,0.9,0.9,False,True,False,True,0.0,0.050000000000000044,0.050000000000000044
35,9577,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.1,0.15,0.1,0.1,False,True,False,True,0.0,0.04999999999999999,0.04999999999999999
36,6661,senior_expert_and_team_leader,junior_trainee,neutral,male,male,0.15,0.2,0.2,0.15,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
