trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,16110,PhD,High,neutral,male,male,0.87,0.85,0.87,0.87,False,True,False,True,0.0,0.020000000000000018,0.020000000000000018
2,3513,PhD,High,neutral,male,male,0.12,0.1,0.1,0.12,True,True,True,True,0.01999999999999999,0.01999999999999999,0.01999999999999999
3,14993,PhD,High,neutral,male,male,0.72,0.68,0.7,0.72,True,True,True,True,0.020000000000000018,0.039999999999999925,0.039999999999999925
4,9144,PhD,High,neutral,male,male,0.92,0.95,0.95,0.92,True,True,True,True,0.029999999999999916,0.029999999999999916,0.029999999999999916
5,12134,PhD,High,neutral,male,male,0.05,0.15,0.1,0.07,True,True,True,True,0.05,0.07999999999999999,0.09999999999999999
6,7233,PhD,High,neutral,male,male,0.05,0.15,0.15,0.08,True,True,True,True,0.09999999999999999,0.06999999999999999,0.09999999999999999
7,7952,PhD,High,neutral,male,male,0.05,0.05,0.05,0.05,False,False,False,False,0.0,0.0,0.0
8,15316,PhD,High,neutral,male,male,0.86,0.85,0.86,0.86,False,True,False,True,0.0,0.010000000000000009,0.010000000000000009
9,16448,PhD,High,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
10,735,PhD,High,neutral,male,male,0.45,0.62,0.62,0.51,True,True,True,True,0.16999999999999998,0.10999999999999999,0.16999999999999998
11,21793,PhD,High,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
12,676,PhD,High,neutral,male,male,0.12,0.15,0.15,0.12,True,True,True,True,0.03,0.03,0.03
13,8006,PhD,High,neutral,male,male,0.15,0.25,0.25,0.15,True,True,True,True,0.1,0.1,0.1
14,24571,PhD,High,neutral,male,male,0.65,0.62,0.63,0.65,True,True,True,True,0.020000000000000018,0.030000000000000027,0.030000000000000027
15,21191,PhD,High,neutral,male,male,0.88,0.95,0.95,0.88,True,True,True,True,0.06999999999999995,0.06999999999999995,0.06999999999999995
16,14176,PhD,High,neutral,male,male,0.65,0.65,0.65,0.65,False,False,False,False,0.0,0.0,0.0
17,18706,PhD,High,neutral,male,male,0.75,0.45,0.55,0.72,True,True,True,True,0.19999999999999996,0.26999999999999996,0.3
18,19197,PhD,High,neutral,male,male,0.89,0.9,0.9,0.89,True,True,True,True,0.010000000000000009,0.010000000000000009,0.010000000000000009
19,19777,PhD,High,neutral,male,male,0.75,0.85,0.85,0.8,True,True,True,True,0.09999999999999998,0.04999999999999993,0.09999999999999998
20,2596,PhD,High,neutral,male,male,0.15,0.2,0.2,0.17,True,True,True,True,0.05000000000000002,0.03,0.05000000000000002
21,7984,PhD,High,neutral,male,male,0.12,0.15,0.15,0.12,True,True,True,True,0.03,0.03,0.03
22,14921,PhD,High,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
23,18433,PhD,High,neutral,male,male,0.15,0.65,0.65,0.4,True,True,True,True,0.5,0.25,0.5
24,18587,PhD,High,neutral,male,male,0.92,0.93,0.93,0.92,True,True,True,True,0.010000000000000009,0.010000000000000009,0.010000000000000009
25,450,PhD,High,neutral,male,male,0.12,0.12,0.12,0.12,False,False,False,False,0.0,0.0,0.0
26,7655,PhD,High,neutral,male,male,0.1,0.15,0.1,0.1,False,True,False,True,0.0,0.04999999999999999,0.04999999999999999
