trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,18821,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
2,14237,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.89,0.85,0.85,0.89,True,True,True,True,0.040000000000000036,0.040000000000000036,0.040000000000000036
3,24449,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.7,0.65,0.65,0.7,True,True,True,True,0.04999999999999993,0.04999999999999993,0.04999999999999993
4,1737,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.11,0.11,0.1,False,False,True,True,0.009999999999999995,0.009999999999999995,0.009999999999999995
5,22978,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
6,6512,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
7,874,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
8,1774,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
9,8832,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.12,0.15,0.15,0.12,True,True,True,True,0.03,0.03,0.03
10,12633,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.9,0.85,0.86,0.9,True,True,True,True,0.040000000000000036,0.050000000000000044,0.050000000000000044
11,16188,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
12,17808,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.89,0.89,0.95,True,True,True,True,0.05999999999999994,0.05999999999999994,0.05999999999999994
13,7011,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.05,0.15,0.15,0.08,True,True,True,True,0.09999999999999999,0.06999999999999999,0.09999999999999999
14,10458,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.15,0.15,0.15,0.15,False,False,False,False,0.0,0.0,0.0
15,24956,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.95,0.96,0.96,0.95,True,True,True,True,0.010000000000000009,0.010000000000000009,0.010000000000000009
16,10035,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
17,73,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.35,0.35,0.35,0.35,False,False,False,False,0.0,0.0,0.0
18,4014,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.2,0.25,0.25,0.2,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
20,24000,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.85,0.85,0.8,True,True,True,True,0.09999999999999998,0.04999999999999993,0.09999999999999998
21,19566,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.75,0.65,0.65,0.75,True,True,True,True,0.09999999999999998,0.09999999999999998,0.09999999999999998
22,4066,junior_trainee,senior_expert_and_team_leader,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
