trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,8314,High,PhD,neutral,male,male,0.1,0.25,0.2,0.2,True,True,True,True,0.1,0.04999999999999999,0.15
2,3387,High,PhD,neutral,male,male,0.3,0.25,0.25,0.3,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
3,19118,High,PhD,neutral,male,male,0.65,0.65,0.65,0.65,False,False,False,False,0.0,0.0,0.0
4,8213,High,PhD,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
5,9125,High,PhD,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
6,10851,High,PhD,neutral,male,male,0.2,0.3,0.3,0.2,True,True,True,True,0.09999999999999998,0.09999999999999998,0.09999999999999998
7,20987,High,PhD,neutral,male,male,0.75,0.78,0.78,0.77,True,True,True,True,0.030000000000000027,0.010000000000000009,0.030000000000000027
8,1966,High,PhD,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
9,21793,High,PhD,neutral,male,male,0.9,0.89,0.9,0.9,False,True,False,True,0.0,0.010000000000000009,0.010000000000000009
10,16649,High,PhD,neutral,male,male,0.45,0.65,0.65,0.55,True,True,True,True,0.2,0.09999999999999998,0.2
11,11850,High,PhD,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
12,4719,High,PhD,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
13,23483,High,PhD,neutral,male,male,0.85,0.95,0.95,0.9,True,True,True,True,0.09999999999999998,0.04999999999999993,0.09999999999999998
14,16410,High,PhD,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
15,7586,High,PhD,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
16,19501,High,PhD,neutral,male,male,0.95,0.85,0.9,0.9,True,True,True,True,0.04999999999999993,0.050000000000000044,0.09999999999999998
17,1576,High,PhD,neutral,male,male,0.25,0.35,0.35,0.3,True,True,True,True,0.09999999999999998,0.04999999999999999,0.09999999999999998
18,3261,High,PhD,neutral,male,male,0.45,0.45,0.45,0.45,False,False,False,False,0.0,0.0,0.0
19,9260,High,PhD,neutral,male,male,0.1,0.15,0.15,0.12,True,True,True,True,0.04999999999999999,0.03,0.04999999999999999
20,22520,High,PhD,neutral,male,male,0.95,0.92,0.95,0.95,False,True,False,True,0.0,0.029999999999999916,0.029999999999999916
21,19392,High,PhD,neutral,male,male,0.9,0.95,0.95,0.92,True,True,True,True,0.04999999999999993,0.029999999999999916,0.04999999999999993
22,19019,High,PhD,neutral,male,male,0.55,0.65,0.65,0.6,True,True,True,True,0.09999999999999998,0.050000000000000044,0.09999999999999998
23,9069,High,PhD,neutral,male,male,0.45,0.45,0.45,0.45,False,False,False,False,0.0,0.0,0.0
24,22214,High,PhD,neutral,male,male,0.6,0.65,0.65,0.63,True,True,True,True,0.050000000000000044,0.020000000000000018,0.050000000000000044
25,13832,High,PhD,neutral,male,male,0.6,0.65,0.65,0.6,True,True,True,True,0.050000000000000044,0.050000000000000044,0.050000000000000044
26,569,High,PhD,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
27,19345,High,PhD,neutral,male,male,0.9,0.92,0.92,0.91,True,True,True,True,0.020000000000000018,0.010000000000000009,0.020000000000000018
28,15871,High,PhD,neutral,male,male,0.8,0.75,0.78,0.8,True,True,True,True,0.020000000000000018,0.050000000000000044,0.050000000000000044
29,14146,High,PhD,neutral,male,male,0.9,0.92,0.92,0.91,True,True,True,True,0.020000000000000018,0.010000000000000009,0.020000000000000018
30,22560,High,PhD,neutral,male,male,0.95,0.92,0.95,0.95,False,True,False,True,0.0,0.029999999999999916,0.029999999999999916
31,2105,High,PhD,neutral,male,male,0.55,0.35,0.39,0.45,True,True,True,True,0.16000000000000003,0.10000000000000003,0.20000000000000007
32,22865,High,PhD,neutral,male,male,0.75,0.63,0.63,0.75,True,True,True,True,0.12,0.12,0.12
33,19230,High,PhD,neutral,male,male,0.85,0.78,0.78,0.85,True,True,True,True,0.06999999999999995,0.06999999999999995,0.06999999999999995
34,697,High,PhD,neutral,male,male,0.05,0.1,0.1,0.08,True,True,True,True,0.05,0.020000000000000004,0.05
35,18708,High,PhD,neutral,male,male,0.52,0.68,0.68,0.55,True,True,True,True,0.16000000000000003,0.13,0.16000000000000003
36,21754,High,PhD,neutral,male,male,0.75,0.68,0.68,0.75,True,True,True,True,0.06999999999999995,0.06999999999999995,0.06999999999999995
37,4548,High,PhD,neutral,male,male,0.2,0.35,0.35,0.2,True,True,True,True,0.14999999999999997,0.14999999999999997,0.14999999999999997
38,22688,High,PhD,neutral,male,male,0.75,0.85,0.85,0.8,True,True,True,True,0.09999999999999998,0.04999999999999993,0.09999999999999998
39,10675,High,PhD,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
