trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,21786,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.65,0.65,0.65,0.65,False,False,False,False,0.0,0.0,0.0
2,8479,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.15,0.15,0.15,0.15,False,False,False,False,0.0,0.0,0.0
3,19030,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.75,0.65,0.7,0.75,True,True,True,True,0.050000000000000044,0.09999999999999998,0.09999999999999998
4,16773,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.55,0.65,0.65,0.6,True,True,True,True,0.09999999999999998,0.050000000000000044,0.09999999999999998
6,24858,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.9,0.63,0.76,0.85,True,True,True,True,0.14,0.21999999999999997,0.27
7,23597,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.65,0.85,0.85,0.75,True,True,True,True,0.19999999999999996,0.09999999999999998,0.19999999999999996
9,24433,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.65,0.68,0.68,0.67,True,True,True,True,0.030000000000000027,0.010000000000000009,0.030000000000000027
10,23794,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.95,0.93,0.94,0.95,True,True,True,True,0.010000000000000009,0.019999999999999907,0.019999999999999907
11,12076,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.35,0.67,0.67,0.51,True,True,True,True,0.32000000000000006,0.16000000000000003,0.32000000000000006
12,5711,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.07,0.18,0.13,0.12,True,True,True,True,0.06,0.06,0.10999999999999999
13,15927,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.75,0.95,0.95,0.85,True,True,True,True,0.19999999999999996,0.09999999999999998,0.19999999999999996
14,3470,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.15,0.25,0.2,0.2,True,True,True,True,0.05000000000000002,0.04999999999999999,0.1
15,14068,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.87,0.85,0.86,0.87,True,True,True,True,0.010000000000000009,0.020000000000000018,0.020000000000000018
16,7894,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.35,0.45,0.45,0.4,True,True,True,True,0.10000000000000003,0.04999999999999999,0.10000000000000003
17,18969,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.75,0.65,0.7,0.75,True,True,True,True,0.050000000000000044,0.09999999999999998,0.09999999999999998
18,11702,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.1,0.12,0.12,0.11,True,False,True,True,0.01999999999999999,0.009999999999999995,0.01999999999999999
19,152,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.1,0.15,0.12,0.1,True,True,True,True,0.01999999999999999,0.04999999999999999,0.04999999999999999
20,2837,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.15,0.25,0.2,0.2,True,True,True,True,0.05000000000000002,0.04999999999999999,0.1
21,20968,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.85,0.65,0.75,0.85,True,True,True,True,0.09999999999999998,0.19999999999999996,0.19999999999999996
22,5630,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.05,0.05,0.05,0.05,False,False,False,False,0.0,0.0,0.0
23,4722,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.15,0.34,0.25,0.25,True,True,True,True,0.1,0.09000000000000002,0.19000000000000003
24,14379,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
25,15862,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.45,0.65,0.65,0.55,True,True,True,True,0.2,0.09999999999999998,0.2
26,3069,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.05,0.15,0.1,0.1,True,True,True,True,0.05,0.04999999999999999,0.09999999999999999
27,5783,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.2,0.15,0.17,0.2,True,True,True,True,0.03,0.05000000000000002,0.05000000000000002
28,15925,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.75,0.65,0.7,0.7,True,True,True,True,0.050000000000000044,0.04999999999999993,0.09999999999999998
29,2119,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.12,0.15,0.15,0.13,True,True,True,True,0.03,0.01999999999999999,0.03
30,24491,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.55,0.65,0.65,0.6,True,True,True,True,0.09999999999999998,0.050000000000000044,0.09999999999999998
31,1298,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.2,0.25,0.23,0.2,True,True,True,True,0.03,0.04999999999999999,0.04999999999999999
32,15292,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.75,0.87,0.87,0.81,True,True,True,True,0.12,0.05999999999999994,0.12
33,22211,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.9,0.91,0.91,0.905,True,False,True,True,0.010000000000000009,0.0050000000000000044,0.010000000000000009
34,12640,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.89,0.88,0.88,0.89,True,True,True,True,0.010000000000000009,0.010000000000000009,0.010000000000000009
35,14938,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.88,0.92,0.92,0.9,True,True,True,True,0.040000000000000036,0.020000000000000018,0.040000000000000036
36,23943,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.75,0.85,0.85,0.8,True,True,True,True,0.09999999999999998,0.04999999999999993,0.09999999999999998
37,5100,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
38,8221,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.3,0.35,0.34,0.32,True,True,True,True,0.040000000000000036,0.02999999999999997,0.04999999999999999
39,2194,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.2,0.15,0.17,0.2,True,True,True,True,0.03,0.05000000000000002,0.05000000000000002
40,17519,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.85,0.85,0.88,0.85,True,False,False,False,0.030000000000000027,0.0,0.0
41,15267,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.85,0.64,0.74,0.85,True,True,True,True,0.10999999999999999,0.20999999999999996,0.20999999999999996
42,20632,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.78,0.8,0.8,0.79,True,True,True,True,0.020000000000000018,0.010000000000000009,0.020000000000000018
43,3125,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.1,0.15,0.13,0.1,True,True,True,True,0.03,0.04999999999999999,0.04999999999999999
44,2716,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.12,0.15,0.14,0.14,True,False,True,True,0.020000000000000018,0.009999999999999981,0.03
45,22401,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.9,0.28,0.45,0.85,True,True,True,True,0.45,0.57,0.62
46,2171,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.1,0.1,0.15,0.1,True,False,False,False,0.04999999999999999,0.0,0.0
47,1126,team_member_(equal_standing),team_member_(equal_standing),neutral,male,male,0.1,0.15,0.12,0.1,True,True,True,True,0.01999999999999999,0.04999999999999999,0.04999999999999999
