trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,22491,Master's,Master's,neutral,male,male,0.85,0.9,0.9,0.87,True,True,True,True,0.050000000000000044,0.030000000000000027,0.050000000000000044
2,3938,Master's,Master's,neutral,male,male,0.05,0.15,0.05,0.1,False,True,False,True,0.0,0.04999999999999999,0.09999999999999999
3,7566,Master's,Master's,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
4,7765,Master's,Master's,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
5,15010,Master's,Master's,neutral,male,male,0.85,0.77,0.82,0.85,True,True,True,True,0.030000000000000027,0.07999999999999996,0.07999999999999996
6,18826,Master's,Master's,neutral,male,male,0.65,0.65,0.65,0.65,False,False,False,False,0.0,0.0,0.0
7,998,Master's,Master's,neutral,male,male,0.05,0.15,0.1,0.1,True,True,True,True,0.05,0.04999999999999999,0.09999999999999999
8,1800,Master's,Master's,neutral,male,male,0.05,0.05,0.05,0.05,False,False,False,False,0.0,0.0,0.0
9,17650,Master's,Master's,neutral,male,male,0.8,0.2,0.7,0.5,True,True,True,True,0.10000000000000009,0.3,0.6000000000000001
10,999,Master's,Master's,neutral,male,male,0.05,0.15,0.05,0.1,False,True,False,True,0.0,0.04999999999999999,0.09999999999999999
11,22272,Master's,Master's,neutral,male,male,0.75,0.65,0.7,0.75,True,True,True,True,0.050000000000000044,0.09999999999999998,0.09999999999999998
12,15673,Master's,Master's,neutral,male,male,0.85,0.68,0.75,0.85,True,True,True,True,0.09999999999999998,0.16999999999999993,0.16999999999999993
13,7769,Master's,Master's,neutral,male,male,0.15,0.15,0.15,0.15,False,False,False,False,0.0,0.0,0.0
14,316,Master's,Master's,neutral,male,male,0.15,0.15,0.15,0.15,False,False,False,False,0.0,0.0,0.0
