trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,15170,,,neutral,male,male,0.75,0.78,0.78,0.77,True,True,True,True,0.030000000000000027,0.010000000000000009,0.030000000000000027
2,19655,,,neutral,male,male,0.75,0.85,0.85,0.8,True,True,True,True,0.09999999999999998,0.04999999999999993,0.09999999999999998
3,16385,,,neutral,male,male,0.75,0.65,0.7,0.7,True,True,True,True,0.050000000000000044,0.04999999999999993,0.09999999999999998
4,9350,,,neutral,male,male,0.05,0.1,0.1,0.08,True,True,True,True,0.05,0.020000000000000004,0.05
5,19241,,,neutral,male,male,0.9,0.92,0.92,0.91,True,True,True,True,0.020000000000000018,0.010000000000000009,0.020000000000000018
6,20986,,,neutral,male,male,0.85,0.95,0.95,0.9,True,True,True,True,0.09999999999999998,0.04999999999999993,0.09999999999999998
7,21090,,,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
8,9140,,,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
9,6623,,,neutral,male,male,0.1,0.15,0.15,0.1,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
10,24459,,,neutral,male,male,0.9,0.1,0.2,0.5,True,True,True,True,0.7,0.4,0.8
11,6745,,,neutral,male,male,0.1,0.15,0.12,0.1,True,True,True,True,0.01999999999999999,0.04999999999999999,0.04999999999999999
12,2251,,,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
13,18124,,,neutral,male,male,0.72,0.75,0.75,0.74,True,True,True,True,0.030000000000000027,0.010000000000000009,0.030000000000000027
14,11874,,,neutral,male,male,0.2,0.1,0.15,0.2,True,True,True,True,0.05000000000000002,0.1,0.1
15,2962,,,neutral,male,male,0.2,0.25,0.25,0.2,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
16,9942,,,neutral,male,male,0.05,0.15,0.1,0.1,True,True,True,True,0.05,0.04999999999999999,0.09999999999999999
17,23334,,,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
18,3425,,,neutral,male,male,0.25,0.35,0.35,0.3,True,True,True,True,0.09999999999999998,0.04999999999999999,0.09999999999999998
19,21092,,,neutral,male,male,0.92,0.95,0.95,0.93,True,True,True,True,0.029999999999999916,0.019999999999999907,0.029999999999999916
20,18210,,,neutral,male,male,0.91,0.85,0.88,0.91,True,True,True,True,0.030000000000000027,0.06000000000000005,0.06000000000000005
21,11194,,,neutral,male,male,0.05,0.1,0.1,0.08,True,True,True,True,0.05,0.020000000000000004,0.05
22,7723,,,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
23,16411,,,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
24,18347,,,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
25,3235,,,neutral,male,male,0.15,0.15,0.15,0.1,False,True,False,False,0.0,0.04999999999999999,0.0
26,5799,,,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
27,1102,,,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
28,10055,,,neutral,male,male,0.2,0.35,0.3,0.3,True,True,True,True,0.09999999999999998,0.04999999999999999,0.14999999999999997
29,383,,,neutral,male,male,0.2,0.25,0.25,0.2,True,True,True,True,0.04999999999999999,0.04999999999999999,0.04999999999999999
30,24261,,,neutral,male,male,0.9,0.95,0.95,0.92,True,True,True,True,0.04999999999999993,0.029999999999999916,0.04999999999999993
31,9965,,,neutral,male,male,0.15,0.2,0.2,0.175,True,True,True,True,0.05000000000000002,0.025000000000000022,0.05000000000000002
32,2851,,,neutral,male,male,0.02,0.05,0.03,0.03,False,True,True,True,0.009999999999999998,0.020000000000000004,0.030000000000000002
33,14548,,,neutral,male,male,0.9,0.9,0.9,0.9,False,False,False,False,0.0,0.0,0.0
34,19668,,,neutral,male,male,0.85,0.64,0.75,0.75,True,True,True,True,0.09999999999999998,0.10999999999999999,0.20999999999999996
35,5155,,,neutral,male,male,0.22,0.15,0.16,0.2,True,True,True,True,0.06,0.05000000000000002,0.07
36,3544,,,neutral,male,male,0.12,0.15,0.15,0.14,True,False,True,True,0.03,0.009999999999999981,0.03
37,10315,,,neutral,male,male,0.05,0.05,0.05,0.05,False,False,False,False,0.0,0.0,0.0
38,15121,,,neutral,male,male,0.93,0.9,0.92,0.93,True,True,True,True,0.010000000000000009,0.030000000000000027,0.030000000000000027
39,14739,,,neutral,male,male,0.75,0.65,0.7,0.7,True,True,True,True,0.050000000000000044,0.04999999999999993,0.09999999999999998
40,10813,,,neutral,male,male,0.05,0.1,0.05,0.08,False,True,False,True,0.0,0.020000000000000004,0.05
41,10354,,,neutral,male,male,0.15,0.15,0.15,0.1,False,True,False,False,0.0,0.04999999999999999,0.0
42,1737,,,neutral,male,male,0.1,0.1,0.1,0.1,False,False,False,False,0.0,0.0,0.0
43,12979,,,neutral,male,male,0.95,0.78,0.85,0.85,True,True,True,True,0.09999999999999998,0.06999999999999995,0.16999999999999993
44,10163,,,neutral,male,male,0.15,0.28,0.28,0.2,True,True,True,True,0.13000000000000003,0.08000000000000002,0.13000000000000003
45,15880,,,neutral,male,male,0.98,0.95,0.96,0.97,True,True,True,True,0.020000000000000018,0.020000000000000018,0.030000000000000027
46,12113,,,neutral,male,male,0.05,0.15,0.1,0.1,True,True,True,True,0.05,0.04999999999999999,0.09999999999999999
47,16454,,,neutral,male,male,0.95,0.95,0.95,0.95,False,False,False,False,0.0,0.0,0.0
48,9376,,,neutral,male,male,0.05,0.15,0.1,0.1,True,True,True,True,0.05,0.04999999999999999,0.09999999999999999
49,12965,,,neutral,male,male,0.85,0.9,0.9,0.87,True,True,True,True,0.050000000000000044,0.030000000000000027,0.050000000000000044
50,23366,,,neutral,male,male,0.92,0.94,0.94,0.92,True,True,True,True,0.019999999999999907,0.019999999999999907,0.019999999999999907
