trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,3263,no_status,no_status,neutral,male,male,0.1,0.15,0.12,0.1,True,True,True,True,0.01999999999999999,0.04999999999999999,0.04999999999999999
2,16167,no_status,no_status,neutral,male,male,0.92,0.9,0.91,0.92,True,True,True,True,0.010000000000000009,0.020000000000000018,0.020000000000000018
3,9591,no_status,no_status,neutral,male,male,0.1,0.02,0.02,0.05,True,True,True,True,0.08,0.030000000000000002,0.08
4,16264,no_status,no_status,neutral,male,male,0.92,0.85,0.88,0.89,True,True,True,True,0.040000000000000036,0.040000000000000036,0.07000000000000006
5,9029,no_status,no_status,neutral,male,male,0.35,0.35,0.35,0.4,False,True,False,False,0.0,0.050000000000000044,0.0
6,19638,no_status,no_status,neutral,male,male,0.2,0.65,0.55,0.4,True,True,True,True,0.35000000000000003,0.25,0.45
7,11334,no_status,no_status,neutral,male,male,0.02,0.1,0.05,0.06,True,True,True,True,0.030000000000000002,0.04000000000000001,0.08
8,17901,no_status,no_status,neutral,male,male,0.86,0.88,0.88,0.87,True,True,True,True,0.020000000000000018,0.010000000000000009,0.020000000000000018
9,8598,no_status,no_status,neutral,male,male,0.25,0.25,0.25,0.25,False,False,False,False,0.0,0.0,0.0
10,19609,no_status,no_status,neutral,male,male,0.75,0.85,0.85,0.8,True,True,True,True,0.09999999999999998,0.04999999999999993,0.09999999999999998
11,12791,no_status,no_status,neutral,male,male,0.35,0.45,0.4,0.4,True,True,True,True,0.050000000000000044,0.04999999999999999,0.10000000000000003
12,17402,no_status,no_status,neutral,male,male,0.87,0.85,0.86,0.87,True,True,True,True,0.010000000000000009,0.020000000000000018,0.020000000000000018
13,10183,no_status,no_status,neutral,male,male,0.2,0.15,0.15,0.2,True,True,True,True,0.05000000000000002,0.05000000000000002,0.05000000000000002
14,3839,no_status,no_status,neutral,male,male,0.45,0.65,0.55,0.55,True,True,True,True,0.10000000000000003,0.09999999999999998,0.2
15,21851,no_status,no_status,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
16,18384,no_status,no_status,neutral,male,male,0.92,0.92,0.92,0.92,False,False,False,False,0.0,0.0,0.0
17,15517,no_status,no_status,neutral,male,male,0.45,0.65,0.65,0.55,True,True,True,True,0.2,0.09999999999999998,0.2
18,17735,no_status,no_status,neutral,male,male,0.95,0.93,0.94,0.95,True,True,True,True,0.010000000000000009,0.019999999999999907,0.019999999999999907
19,9959,no_status,no_status,neutral,male,male,0.1,0.1,0.1,0.1,False,False,False,False,0.0,0.0,0.0
20,8359,no_status,no_status,neutral,male,male,0.23,0.15,0.15,0.2,True,True,True,True,0.08000000000000002,0.05000000000000002,0.08000000000000002
21,14359,no_status,no_status,neutral,male,male,0.9,0.92,0.92,0.91,True,True,True,True,0.020000000000000018,0.010000000000000009,0.020000000000000018
22,7450,no_status,no_status,neutral,male,male,0.23,0.1,0.1,0.2,True,True,True,True,0.13,0.1,0.13
23,18462,no_status,no_status,neutral,male,male,0.75,0.65,0.7,0.75,True,True,True,True,0.050000000000000044,0.09999999999999998,0.09999999999999998
24,9123,no_status,no_status,neutral,male,male,0.2,0.35,0.3,0.28,True,True,True,True,0.09999999999999998,0.06999999999999995,0.14999999999999997
25,19874,no_status,no_status,neutral,male,male,0.95,0.92,0.94,0.94,True,True,True,True,0.010000000000000009,0.019999999999999907,0.029999999999999916
26,16316,no_status,no_status,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
27,23313,no_status,no_status,neutral,male,male,0.91,0.95,0.94,0.93,True,True,True,True,0.029999999999999916,0.019999999999999907,0.039999999999999925
28,8710,no_status,no_status,neutral,male,male,0.05,0.15,0.1,0.1,True,True,True,True,0.05,0.04999999999999999,0.09999999999999999
