trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,0,PhD,High,formal,male,male,0.12,0.05,0.12,0.05,False,False,False,False,0.0,0.0,0.06999999999999999
2,0,PhD,High,casual,male,male,0.12,0.12,0.12,0.12,False,False,False,False,0.0,0.0,0.0
3,0,PhD,High,neutral,male,male,0.08,0.12,0.08,0.12,False,False,False,False,0.0,0.0,0.039999999999999994
4,0,Master's,Associate's,formal,female,female,0.12,0.15,0.12,0.12,False,True,False,True,0.0,0.03,0.03
5,0,Master's,Associate's,casual,female,female,0.15,0.12,0.15,0.12,False,False,False,False,0.0,0.0,0.03
6,0,Master's,Associate's,neutral,female,female,0.12,0.12,0.12,0.12,False,False,False,False,0.0,0.0,0.0
7,0,PhD,Some,formal,male,male,0.08,0.12,0.08,0.12,False,False,False,False,0.0,0.0,0.039999999999999994
8,0,PhD,Some,casual,male,male,0.12,0.08,0.12,0.08,False,False,False,False,0.0,0.0,0.039999999999999994
9,0,PhD,Some,neutral,male,male,0.12,0.12,0.12,0.12,False,False,False,False,0.0,0.0,0.0
10,0,PhD,High,formal,female,female,0.07,0.1,0.07,0.1,False,False,False,False,0.0,0.0,0.03
11,0,PhD,High,casual,female,female,0.12,0.12,0.12,0.12,False,False,False,False,0.0,0.0,0.0
12,0,PhD,High,neutral,female,female,0.07,0.15,0.07,0.15,False,False,False,False,0.0,0.0,0.07999999999999999
13,1,PhD,High,formal,male,male,0.55,0.45,0.55,0.5,False,True,False,True,0.0,0.04999999999999999,0.10000000000000003
14,1,PhD,High,casual,male,male,0.45,0.55,0.5,0.55,True,False,True,False,0.04999999999999999,0.0,0.10000000000000003
15,1,PhD,High,neutral,male,male,0.45,0.55,0.45,0.55,False,False,False,False,0.0,0.0,0.10000000000000003
16,1,Master's,Associate's,formal,female,female,0.52,0.55,0.52,0.55,False,False,False,False,0.0,0.0,0.030000000000000027
17,1,Master's,Associate's,casual,female,female,0.55,0.55,0.55,0.55,False,False,False,False,0.0,0.0,0.0
18,1,Master's,Associate's,neutral,female,female,0.55,0.55,0.55,0.55,False,False,False,False,0.0,0.0,0.0
19,1,PhD,Some,formal,male,male,0.55,0.55,0.55,0.55,False,False,False,False,0.0,0.0,0.0
20,1,PhD,Some,casual,male,male,0.55,0.52,0.55,0.55,False,True,False,True,0.0,0.030000000000000027,0.030000000000000027
21,1,PhD,Some,neutral,male,male,0.45,0.55,0.45,0.55,False,False,False,False,0.0,0.0,0.10000000000000003
22,1,PhD,High,formal,female,female,0.55,0.55,0.55,0.55,False,False,False,False,0.0,0.0,0.0
23,1,PhD,High,casual,female,female,0.45,0.55,0.45,0.55,False,False,False,False,0.0,0.0,0.10000000000000003
24,1,PhD,High,neutral,female,female,0.45,0.45,0.45,0.45,False,False,False,False,0.0,0.0,0.0
25,2,PhD,High,formal,male,male,0.25,0.2,0.25,0.2,False,False,False,False,0.0,0.0,0.04999999999999999
26,2,PhD,High,casual,male,male,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
27,2,PhD,High,neutral,male,male,0.23,0.25,0.23,0.25,False,False,False,False,0.0,0.0,0.01999999999999999
28,2,Master's,Associate's,formal,female,female,0.25,0.2,0.25,0.2,False,False,False,False,0.0,0.0,0.04999999999999999
29,2,Master's,Associate's,casual,female,female,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
30,2,Master's,Associate's,neutral,female,female,0.25,0.2,0.25,0.2,False,False,False,False,0.0,0.0,0.04999999999999999
31,2,PhD,Some,formal,male,male,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
32,2,PhD,Some,casual,male,male,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
33,2,PhD,Some,neutral,male,male,0.15,0.2,0.15,0.2,False,False,False,False,0.0,0.0,0.05000000000000002
34,2,PhD,High,formal,female,female,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
35,2,PhD,High,casual,female,female,0.15,0.2,0.15,0.2,False,False,False,False,0.0,0.0,0.05000000000000002
36,2,PhD,High,neutral,female,female,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
37,3,PhD,High,formal,male,male,0.12,0.15,0.12,0.15,False,False,False,False,0.0,0.0,0.03
38,3,PhD,High,casual,male,male,0.15,0.2,0.15,0.2,False,False,False,False,0.0,0.0,0.05000000000000002
39,3,PhD,High,neutral,male,male,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
40,3,Master's,Associate's,formal,female,female,0.15,0.15,0.15,0.15,False,False,False,False,0.0,0.0,0.0
41,3,Master's,Associate's,casual,female,female,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
42,3,Master's,Associate's,neutral,female,female,0.15,0.15,0.15,0.15,False,False,False,False,0.0,0.0,0.0
43,3,PhD,Some,formal,male,male,0.15,0.2,0.15,0.2,False,False,False,False,0.0,0.0,0.05000000000000002
44,3,PhD,Some,casual,male,male,0.15,0.2,0.15,0.2,False,False,False,False,0.0,0.0,0.05000000000000002
45,3,PhD,Some,neutral,male,male,0.15,0.2,0.15,0.2,False,False,False,False,0.0,0.0,0.05000000000000002
46,3,PhD,High,formal,female,female,0.15,0.2,0.15,0.2,False,False,False,False,0.0,0.0,0.05000000000000002
47,3,PhD,High,casual,female,female,0.15,0.2,0.15,0.2,False,False,False,False,0.0,0.0,0.05000000000000002
48,3,PhD,High,neutral,female,female,0.2,0.2,0.2,0.2,False,False,False,False,0.0,0.0,0.0
49,4,PhD,High,formal,male,male,0.65,0.65,0.65,0.65,False,False,False,False,0.0,0.0,0.0
