trial_id,review_id,m1_profile,m2_profile,interaction_style,m1_gender,m2_gender,m1_initial,m2_initial,m1_final,m2_final,m1_changed,m2_changed,m1_toward_m2,m2_toward_m1,m1_change_magnitude,m2_change_magnitude,initial_disagreement
1,8117,PhD,High,neutral,male,male,0.12,0.1,0.12,0.12,False,True,False,True,0.0,0.01999999999999999,0.01999999999999999
2,2818,PhD,High,neutral,male,male,0.12,0.15,0.12,0.15,False,False,False,False,0.0,0.0,0.03
3,23828,PhD,High,neutral,male,male,0.89,0.85,0.89,0.89,False,True,False,True,0.0,0.040000000000000036,0.040000000000000036
4,24186,PhD,High,neutral,male,male,0.65,0.6,0.65,0.65,False,True,False,True,0.0,0.050000000000000044,0.050000000000000044
5,744,PhD,High,neutral,male,male,0.15,0.2,0.15,0.2,False,False,False,False,0.0,0.0,0.05000000000000002
6,21906,PhD,High,neutral,male,male,0.85,0.85,0.85,0.85,False,False,False,False,0.0,0.0,0.0
7,2966,PhD,High,neutral,male,male,0.25,0.3,0.25,0.3,False,False,False,False,0.0,0.0,0.04999999999999999
8,20282,PhD,High,neutral,male,male,0.91,0.9,0.91,0.91,False,True,False,True,0.0,0.010000000000000009,0.010000000000000009
9,14203,PhD,High,neutral,male,male,0.92,0.9,0.92,0.92,False,True,False,True,0.0,0.020000000000000018,0.020000000000000018
10,5642,PhD,High,neutral,male,male,0.15,0.2,0.15,0.2,False,False,False,False,0.0,0.0,0.05000000000000002
11,12198,PhD,High,neutral,male,male,0.02,0.05,0.02,0.05,False,False,False,False,0.0,0.0,0.030000000000000002
12,24107,PhD,High,neutral,male,male,0.15,0.85,0.15,0.85,False,False,False,False,0.0,0.0,0.7
13,17388,PhD,High,neutral,male,male,0.75,0.75,0.75,0.75,False,False,False,False,0.0,0.0,0.0
14,16360,PhD,High,neutral,male,male,0.75,0.8,0.75,0.8,False,False,False,False,0.0,0.0,0.050000000000000044
